Handle,Title,Body (HTML),Published,Variant Price,Variant Compare At Price,Image Src,Image Alt Text,Image Position,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value
2721,شماغ العطار أحمر سوبر ديلوكس R16,تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها,true,185.0,,https://kalash.gallery/wp-content/uploads/2023/03/8U7A9081.jpg,,1.0,Size,50,,,,
2721,,,,,,https://kalash.gallery/wp-content/uploads/2023/03/8U7A9082.jpg,,2.0,,,,,,
2721,شماغ العطار أحمر سوبر ديلوكس R16,تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها,true,185.0,,,,,Size,52,,,,
2721,شماغ العطار أحمر سوبر ديلوكس R16,تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها,true,185.0,,,,,Size,55,,,,
2721,شماغ العطار أحمر سوبر ديلوكس R16,تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها,true,185.0,,,,,Size,58,,,,
2728,وزار دلة قطن عضوي,وزار دله المصنوع بعانية خاصة من القطن العضوي الهندي وغير المعالج كيميائيا ولهذا تم نسج الوزار وفق أرقى وأعلى الموصفات لتكون مريحه أثناء الارتداء,true,55.0,,https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة.jpg,,1.0,Size,2.25 متر,,,,
2728,,,,,,https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة1.jpg,,2.0,,,,,,
2728,,,,,,https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة2.jpg,,3.0,,,,,,
2728,,,,,,https://kalash.gallery/wp-content/uploads/2023/03/DSC_0311_Website.jpg,,4.0,,,,,,
2728,وزار دلة قطن عضوي,وزار دله المصنوع بعانية خاصة من القطن العضوي الهندي وغير المعالج كيميائيا ولهذا تم نسج الوزار وفق أرقى وأعلى الموصفات لتكون مريحه أثناء الارتداء,true,55.0,,,,,Size,2.5 متر,,,,
2728,وزار دلة قطن عضوي,وزار دله المصنوع بعانية خاصة من القطن العضوي الهندي وغير المعالج كيميائيا ولهذا تم نسج الوزار وفق أرقى وأعلى الموصفات لتكون مريحه أثناء الارتداء,true,55.0,,,,,Size,مترين,,,,
